               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.042737,             0.01233,                   0,             0.80287,             0.59322,             0.69822,             0.32601,            0.049407,           0.0071367,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.041645,            0.011501,                   0,              0.7646,             0.71186,             0.70655,             0.30469,            0.052967,           0.0073135,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.041607,            0.011671,                   0,             0.86073,             0.66102,             0.75901,             0.32718,            0.048178,           0.0068319,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.040224,            0.011721,                   0,             0.73584,             0.74576,             0.77494,             0.34806,            0.045797,           0.0066769,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.040494,            0.011564,                   0,             0.78858,             0.76271,             0.77327,             0.34646,            0.047453,           0.0071643,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.040286,            0.012042,                   0,             0.74751,             0.70257,             0.72387,             0.26301,            0.054299,           0.0064615,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.040331,            0.011059,                   0,             0.82011,             0.64407,             0.68397,             0.24519,            0.055146,           0.0064194,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.040522,            0.011518,                   0,             0.86668,              0.6611,             0.75214,             0.32245,            0.048646,           0.0070899,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.038568,            0.010879,                   0,             0.77468,             0.69492,               0.735,             0.32614,            0.047862,           0.0064688,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.039487,            0.011457,                   0,             0.84513,                0.74,             0.78348,             0.34107,             0.04777,           0.0064099,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.039349,            0.011187,                   0,             0.74246,             0.66102,             0.71141,             0.28502,            0.051478,           0.0071373,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.037954,            0.011098,                   0,             0.85763,             0.71475,             0.81766,             0.33716,            0.045518,           0.0066385,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.038772,             0.01136,                   0,             0.73454,             0.72881,             0.71544,             0.34837,            0.044546,            0.006215,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.037294,            0.010769,                   0,             0.90783,             0.64407,             0.77939,             0.35967,            0.046445,           0.0061826,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.037279,            0.011136,                   0,             0.85401,             0.64407,             0.75363,              0.3262,            0.046375,           0.0063041,                   0,            0.004951,            0.004951,            0.004951
                  53,              0.0369,             0.01121,                   0,             0.88553,             0.65564,             0.73738,              0.3157,            0.047382,           0.0065887,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.036681,            0.010351,                   0,             0.82627,             0.72881,             0.78753,             0.37119,            0.045246,           0.0063849,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.037338,            0.010556,                   0,             0.83138,             0.75221,             0.80843,             0.34435,            0.046737,           0.0065369,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.035596,            0.010724,                   0,             0.78244,             0.60958,             0.64655,             0.27966,            0.058412,           0.0064834,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.036156,            0.010027,                   0,             0.88869,             0.67663,             0.77718,             0.35787,            0.044796,           0.0065249,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.03687,             0.01022,                   0,             0.89936,             0.66102,             0.76671,             0.34144,            0.047129,           0.0064272,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.036476,            0.010745,                   0,             0.90092,             0.66102,             0.74777,             0.30439,            0.051769,           0.0064316,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.035422,             0.01044,                   0,             0.84332,             0.74576,             0.79314,             0.34297,            0.047607,           0.0060616,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.034252,            0.010618,                   0,             0.78172,             0.72841,             0.78309,             0.35273,            0.045795,           0.0062854,                   0,             0.00406,             0.00406,             0.00406
